unit_code,program,level_code,seq_in_level,unit_type,assessment,chu_de,noi_dung,tu_duy_dat_duoc,sessions,duration_month,order_global
IG-C3,Bright I.G,C,3,LESSON,,Bạn là ai? + Đặt câu hỏi,Bạn là ai? [Nhận thức về không gian] || Đặt câu hỏi [Khả năng phân loại],"Quan sát hình dạng khối; Tái tạo 3D từ mặt trước và bên || Tập hợp dữ liệu, sắp xếp bằng đồ thị/biểu đồ; Xem dữ liệu và đoán khả năng",4,1,47
IG-C-REV,Bright I.G,C,4,REVIEW,Thi lên level,Ôn tập & kiểm tra cuối level C,Ôn tập toàn bộ level C,Đánh giá năng lực để lên level kế tiếp,4,1,48
IG-W1,Bright I.G,W,1,LESSON,,Chúng giống nhau như thế nào? + Jiji và Nani,Chúng giống nhau như thế nào? [Hình học] || Jiji và Nani [Kiểu mẫu và giải quyết vấn đề],Sự đối xứng quanh ta; Học đối xứng qua hoạt động giấy màu || Kiểu mẫu đơn/ghép trên đường tròn; Giải đố bằng quy tắc kiểu mẫu,4,1,49
IG-W2,Bright I.G,W,2,LESSON,,Không cần hỏi đâu + Đi chợ,Không cần hỏi đâu [Lý luận Logic] || Đi chợ [Con số và các phép toán],Hiểu suy luận loại suy; Các mối quan hệ suy luận || Thay thế và chuyển đổi; Thay thế và loại bỏ,4,1,50
IG-W3,Bright I.G,W,3,LESSON,,Hoàng tử Zzino + Thực đơn hôm nay,Hoàng tử Zzino [Kiểu mẫu và giải quyết vấn đề] || Thực đơn hôm nay [Lý luận logic],Quan sát 3D từ nhiều góc; Tạo hình khối mới bằng kết hợp 3D || Đếm số trường hợp; Đếm số con đường khác nhau,4,1,51
IG-W-REV,Bright I.G,W,4,REVIEW,Thi lên level,Ôn tập & kiểm tra cuối level W,Ôn tập toàn bộ level W,Đánh giá năng lực để lên level kế tiếp,4,1,52
IG-Q1,Bright I.G,Q,1,LESSON,,Hình khối một phần + Trò chơi số học vui vẻ,Hình khối một phần [Hình học] || Trò chơi số học vui vẻ [Con số và các phép toán],Tạo hình mới từ hình khối khác nhau; Tạo hình từ mảnh ghép Pentomino || Tạo giá trị giống nhau từ hai số khác nhau; Domino và trò chơi con số,4,1,53
IG-Q2,Bright I.G,Q,2,LESSON,,Công viên giải trí + Chia và Chia,Công viên giải trí [Kiểu mẫu và giải quyết vấn đề] || Chia và Chia [Khả năng phân loại],Các kiểu mẫu khác nhau; Dự đoán đối tượng ngày thứ N || Tập hợp thuộc tính tương tự; Quan hệ Từng phần và Toàn bộ,4,1,54
IG-Q3,Bright I.G,Q,3,LESSON,,Xứ sở thần tiên + Trốn tìm,Xứ sở thần tiên [Lý luận logic] || Trốn tìm [Hình học],Giải câu đố logic khác nhau; Chiến lược giải đố || Khám phá hình khối bằng cách lật và xoay,4,1,55
IG-Q-REV,Bright I.G,Q,4,REVIEW,Thi lên level,Ôn tập & kiểm tra cuối level Q,Ôn tập toàn bộ level Q,Đánh giá năng lực để lên level kế tiếp,4,1,56
IG-U1,Bright I.G,U,1,LESSON,,Hành tinh kiểu mẫu + Cuộc săn tìm kho báu của Tiny và Red,Hành tinh kiểu mẫu [Kiểu mẫu và giải quyết vấn đề] || Cuộc săn tìm kho báu của Tiny và Red [Hình học],Kiểu mẫu ghép trên đường thẳng/tròn; Dự đoán đối tượng tiếp theo || Đối xứng của hình khối/ảnh sau khi xoay; Giải đố bằng đối xứng và phép xoay,4,1,57
IG-U2,Bright I.G,U,2,LESSON,,Sue thích gì + Họ đã nhìn thấy như thế nào,Sue thích gì [Lý luận logic] || Họ đã nhìn thấy như thế nào [Nhận thức về không gian],Thuộc tính chung của một dãy; Vấn đề và câu đố logic || Mối quan hệ không gian; Quan sát 3D từ nhiều hướng,4,1,58
IG-U3,Bright I.G,U,3,LESSON,,Tính toán vui vẻ + Chuẩn bị cho bữa tiệc vui vẻ,Tính toán vui vẻ [Con số và các phép toán] || Chuẩn bị cho bữa tiệc vui vẻ [Kiểu mẫu và giải quyết vấn đề],Phép cộng và trừ; Trò chơi/câu đố về cộng-trừ || Giải câu đố về logic và không gian khác nhau,4,1,59
IG-U-REV,Bright I.G,U,4,REVIEW,Thi lên level,Ôn tập & kiểm tra cuối level U,Ôn tập toàn bộ level U,Đánh giá năng lực để lên level kế tiếp,4,1,60
